wkt_geom;ID;ZONA;EMPRESA;OBJETO;COMUNAS;CONTENEDOR
MultiPolygon (((-58.42965436632550791 -34.59952899983963448, -58.42967340525527931 -34.59953294113867628, -58.42978526398674433 -34.59960413996898865, -58.42991144408922111 -34.59973464971545098, -58.43002615547379719 -34.59984855025104622, -58.43021541534938734 -34.60007396802040347, -58.43034303021945419 -34.60020724536062176, -58.43083627111175815 -34.60076407172794433, -58.43112686415836521 -34.60109626735414423, -58.43152451999519315 -34.60155501159895408, -58.43179600610623936 -34.60184924413099594, -58.43191203664090239 -34.60196660277352976, -58.4320862466425055 -34.60218548998117427, -58.43226910606768598 -34.60229050937130779, -58.43277252272318378 -34.60254328231870602, -58.43312749665988548 -34.60272484872325549, -58.43380219224226835 -34.6030647414463175, -58.43439119878928523 -34.60335271682711067, -58.43501484292553272 -34.60366301427060876, -58.43523646498893243 -34.60377675832405941, -58.43611616539858034 -34.60421029058566944, -58.43669372557836539 -34.60445396965346276, -58.43696911844682518 -34.60457422381309556, -58.43769595923507154 -34.6049374333628279, -58.43793046519905943 -34.60507625985560765, -58.43880752128330158 -34.60557256180697294, -58.43949157882884293 -34.60587336757670585, -58.44142309034625526 -34.60637758257053065, -58.4431821598987753 -34.60685321784940527, -58.44501024427545843 -34.60737092779026369, -58.44504606587469198 -34.60738107254955764, -58.44617146605803981 -34.60769976533963188, -58.4468613693060064 -34.60762380264334581, -58.44803823160314948 -34.60733280557462876, -58.44879657758940539 -34.60714414118632476, -58.44909210578952496 -34.60705708114834067, -58.44918549851377776 -34.60702956849832646, -58.44987540010024674 -34.60684127768276142, -58.45024534432919694 -34.60676484859182267, -58.45028924084500943 -34.60675577867326069, -58.45569804443285733 -34.60537593898801134, -58.45835163983021943 -34.60470088248176523, -58.46246382443064249 -34.60742108444851084, -58.46130293557244784 -34.60979238070191144, -58.45927043421689717 -34.61381806365829306, -58.45927063252907629 -34.61381813904070981, -58.45934960575364414 -34.61408739115034905, -58.45967007788698311 -34.61420741705831006, -58.45969645890733091 -34.61421729977870143, -58.46273285549487753 -34.61532454751687027, -58.46281518846784309 -34.61535440659136498, -58.464449451076419 -34.61597204879255685, -58.46728508537887592 -34.61723543952520998, -58.46891003353111671 -34.61790747443149741, -58.46970287150378454 -34.61831052123883978, -58.47041076258694403 -34.61870534009194245, -58.47045417846017301 -34.61872955529374707, -58.47313795693523275 -34.62022633176151487, -58.47650646873935187 -34.62196285172814925, -58.47737819142784588 -34.62238279973792743, -58.47739726920872982 -34.62239199175160564, -58.47758427055262587 -34.62248207508324072, -58.477728811380004 -34.62255169720763348, -58.48025437462506915 -34.623810416916875, -58.4825144255406002 -34.62476680474195945, -58.48251978658633732 -34.62476893312531701, -58.48262118655630815 -34.62480921233227349, -58.48265971900702453 -34.62482439526404931, -58.48266190695883182 -34.62482525486065299, -58.48266339865389085 -34.62482584277488229, -58.48266344654669524 -34.62482572337476228, -58.4828863973437052 -34.62468986501815493, -58.48329233015674333 -34.62434945373629347, -58.483487409389177 -34.62417421821859165, -58.48501104779156634 -34.62295587561998644, -58.48761088916478457 -34.62089187592277995, -58.48900325271922185 -34.6197986542502818, -58.48913061485565379 -34.61970000365544564, -58.49039893316422223 -34.61867482267781782, -58.49437936965169627 -34.61559104871626147, -58.49578962178167529 -34.61437962469804575, -58.4958165183555252 -34.61434624582238229, -58.49742934371126069 -34.61255760015124849, -58.49742942884949315 -34.61255749724035979, -58.49809062987813491 -34.61166847710688188, -58.49809071501488233 -34.61166837474571878, -58.50022064648955933 -34.60930348980810578, -58.50063686221159287 -34.6095401628199042, -58.50303088607211066 -34.6109669840106946, -58.50303910493188653 -34.61097187968952227, -58.50776070041777643 -34.6137724198733423, -58.51003590889205697 -34.61508708138354962, -58.51060581969929331 -34.61544975040614247, -58.51210521973470691 -34.61633213994515046, -58.51270200224588791 -34.6166784738090314, -58.51271513267344915 -34.61668609303684008, -58.51279811945572362 -34.61673425006593163, -58.51346303136377003 -34.61728340267284665, -58.51411863234073252 -34.61789445966915224, -58.51474819781034142 -34.61843439382482046, -58.51474968139331878 -34.61843566744441603, -58.51484913077846528 -34.61852095697868492, -58.51548600024038649 -34.61908558681506065, -58.51621656312205033 -34.61977398319954347, -58.51683015456087134 -34.62030634110066529, -58.51707820098499724 -34.620329799496524, -58.51707830143439537 -34.62032972737617342, -58.5170817167223305 -34.62032728848883067, -58.51708244713863394 -34.6203267583252341, -58.51745037288359441 -34.62005868718124901, -58.51745242376201617 -34.62005720623554339, -58.51814006738298701 -34.61955980413710421, -58.51814470325056305 -34.61955644638907614, -58.51814466197323839 -34.61955642495021834, -58.51814478171284861 -34.61955634016572958, -58.5181446072820961 -34.61955624836238599, -58.52150329228832248 -34.61692382990053574, -58.52402914568163084 -34.61499573028352472, -58.52517036975888232 -34.61405106874721582, -58.52521720440459774 -34.614097468624621, -58.52587598742353947 -34.61360330763582738, -58.52587610714252975 -34.61360321734172629, -58.5293844401029375 -34.61109922203134204, -58.52942874013499619 -34.61106760225334966, -58.52951732812608299 -34.61100437035798194, -58.52951731079227216 -34.61100433075334593, -58.52946888647077373 -34.61089572050711638, -58.52938574581352782 -34.61071896818220495, -58.52781949658410809 -34.60738910021832027, -58.5262274228565289 -34.604004035126259, -58.52350894949150018 -34.59822332846340487, -58.52337438933603408 -34.59793717514953215, -58.51565829922726181 -34.58152441556807588, -58.51557845736322605 -34.58135691301670533, -58.51553617118767647 -34.58126820022586401, -58.51539663317190332 -34.58097545466735312, -58.51382419681257829 -34.57767639332013232, -58.51271123911212158 -34.5753411652743452, -58.51105243526821909 -34.57186037939871426, -58.51033439611769182 -34.5703535668141555, -58.5103182894409457 -34.57031922247644928, -58.51031817157119264 -34.5703189771333399, -58.51029494857726831 -34.57026946821110158, -58.50992111480796609 -34.56937465068073578, -58.50987924927204631 -34.56927444026189988, -58.50987537096391833 -34.56926515713811199, -58.50981208310716397 -34.56913096307301458, -58.50939695558476927 -34.56825072018722267, -58.50799764475237907 -34.56528345439792815, -58.50636550608959396 -34.56182218827002117, -58.50578682238787565 -34.56059490569209203, -58.50490508075976237 -34.55872481672894025, -58.50200110754260407 -34.55256510941145365, -58.50139336302914472 -34.55127588166757135, -58.50073579022886605 -34.549880900892461, -58.50067198861187023 -34.5497455485887599, -58.50055121519700663 -34.54948932691446828, -58.49746329001407474 -34.54812661906596105, -58.49542021554383098 -34.54722493789157056, -58.49485144259396208 -34.54697390860646067, -58.49469624850249261 -34.54690541567083528, -58.49411002333641107 -34.54664668026081387, -58.49348027506317038 -34.54636872674574022, -58.49304954318004945 -34.54617861213291263, -58.49287066547822178 -34.54609965735935617, -58.49250309293858408 -34.54593742153027591, -58.49046628166785666 -34.54503837028221369, -58.48770041608572257 -34.54381743492401569, -58.48715383310199911 -34.54357614273078525, -58.48659987498900392 -34.5433315945279773, -58.48658197093167388 -34.54332369052406904, -58.48605687209811066 -34.54309187743449172, -58.48364933760134221 -34.54202898768048868, -58.48124432003743323 -34.54096713433131072, -58.48086227366052015 -34.54079844905137264, -58.48074384598698572 -34.54074615940704973, -58.47950829167424303 -34.54020060579870943, -58.47926528766690524 -34.54009330824199964, -58.47860351482042063 -34.53980109340209026, -58.47812010072244249 -34.53958763222923523, -58.47784844964169793 -34.5394676774945637, -58.47746849159346993 -34.53929989848240467, -58.47636560445218379 -34.53881288240658876, -58.47636548944601032 -34.5388130034640497, -58.47548613364272541 -34.53974193647162849, -58.47496556000682943 -34.54025261030861316, -58.47404523030384382 -34.54159718396488898, -58.47402074776300651 -34.54163295049460913, -58.47402085880747791 -34.54163298074544031, -58.4740191988241591 -34.54163521857255859, -58.47174446498542011 -34.54470267975831632, -58.47124676935993648 -34.54543380326190771, -58.46850077870255546 -34.548955083549032, -58.46850075942026592 -34.54895511050983714, -58.46848810282803299 -34.54897134096194122, -58.46848436402927973 -34.54897613669763956, -58.46848474706740717 -34.54897635290879521, -58.46878599651992658 -34.5491460958626746, -58.46878606833980285 -34.54914613547359892, -58.46982258094177354 -34.54973015814667292, -58.4698228356401799 -34.54973030228465092, -58.47188291631805868 -34.55089100930418056, -58.47188305597383362 -34.55089108852268964, -58.47192563900762252 -34.55091508015386381, -58.47192983400196198 -34.55091744570363943, -58.47292157703201809 -34.55147619542416493, -58.4734641784588689 -34.55176753001602918, -58.47347041585964433 -34.55177087744213793, -58.47348649384520058 -34.55177950978482215, -58.47388983849372579 -34.55199607020757924, -58.47450604815001896 -34.55232691654714472, -58.47450720067336505 -34.55232750240022455, -58.47453367837130855 -34.55247892737914839, -58.47370114623580406 -34.55359278615359386, -58.47369839491847898 -34.55359646284681219, -58.4716521460079619 -34.55633402082585093, -58.46906381327734437 -34.55928634970077695, -58.46902313683582975 -34.55933274254705623, -58.46867686057366598 -34.5597276935783384, -58.46722762377331151 -34.56127666888324512, -58.46729326768647184 -34.56130639597288479, -58.46729320051900913 -34.56130647740511108, -58.46782963675927647 -34.56162544806495873, -58.46782951638441972 -34.56162549813828377, -58.46786416288897925 -34.56179130568347801, -58.4678648253249591 -34.56179168584408501, -58.46751872694070329 -34.56194456057614417, -58.46683765551805578 -34.56224539176724875, -58.46683808317538933 -34.56224565860002684, -58.46683824412890118 -34.56224575983146963, -58.46686833511945736 -34.56226458447014949, -58.46697252734915651 -34.56232976642933608, -58.46723075778376 -34.56253148484736215, -58.46727318878128443 -34.56256142242733631, -58.46733194614559892 -34.56260287782214391, -58.46733210909641087 -34.56260299335807673, -58.46733220952728516 -34.56260306377992464, -58.46734284323112263 -34.56261056701077905, -58.46734296494553718 -34.56261065503825591, -58.46734834831283223 -34.56261452769491882, -58.46738519319958272 -34.56264104485145339, -58.4676725092266949 -34.5628478131460497, -58.46776151852044023 -34.56289417103329242, -58.46782745073287657 -34.56293780193262677, -58.46831991281927543 -34.56327687101441626, -58.46839777792995818 -34.5633304816894622, -58.46930437730623709 -34.56391131177159792, -58.46932491229959084 -34.56392411657351005, -58.47037582362887775 -34.56457939153929004, -58.47051099213251746 -34.56466392454992587, -58.47065684424279652 -34.56476127858243075, -58.47069891095433292 -34.56478935805825614, -58.47074176908147081 -34.5648166275724833, -58.47079781557421541 -34.56485207602565168, -58.47081057689207029 -34.56485994634432046, -58.47154948829812326 -34.5653156347309789, -58.47154993527606592 -34.56531591970233563, -58.47155247014859469 -34.56531755471378631, -58.47157458360577209 -34.56533181044812153, -58.47241657011232974 -34.56587462562674773, -58.47243992624363074 -34.5658885581365567, -58.47349025980316384 -34.56651513464161951, -58.47350624448763057 -34.56674203687522606, -58.47350637752030877 -34.56674211609227143, -58.47333950022108695 -34.56691455797393786, -58.47334001037651063 -34.56691466246748945, -58.47104690633773316 -34.56971041421069657, -58.47103797130914415 -34.56972114536969798, -58.46836777662269924 -34.57292755343364377, -58.46836360972575619 -34.57293256044339103, -58.46828756543794015 -34.57302651107858082, -58.46821759980183941 -34.57308871762556635, -58.46821752331266708 -34.57308878640395733, -58.46817514560477491 -34.57312646873042183, -58.46817509771575061 -34.573126509997536, -58.46796265548343996 -34.57298185536444635, -58.46740031153193229 -34.57270762031662059, -58.46705679516797005 -34.57293789104605253, -58.46703671264509694 -34.57295135569551547, -58.46683955065320504 -34.57308352048237055, -58.46572265186090789 -34.57375869926969614, -58.46370359532046024 -34.57502610713432745, -58.46312802958991028 -34.57560270295660132, -58.46309064183798654 -34.5756401546018779, -58.46097667832288636 -34.57775780443382985, -58.46097718852896463 -34.57775791448084135, -58.46049467624411022 -34.57829472886270139, -58.46006504125193715 -34.57847038901471848, -58.4600644658269033 -34.57847109215674664, -58.46006317993989398 -34.57847250338965495, -58.45969390457273818 -34.57848470597221535, -58.45791815841833028 -34.57860309563057655, -58.45777312876590059 -34.57864763398031016, -58.45775338439740665 -34.57865369802617295, -58.45717181538488205 -34.57879086796134516, -58.4571369565995056 -34.57879909130341645, -58.45712069263815636 -34.57880336670820753, -58.45711029325453012 -34.57880610127195098, -58.45707343274584389 -34.57881579408585537, -58.45707233646305667 -34.57881608233961401, -58.45691703010181328 -34.57885691965775266, -58.4569100353049933 -34.57885875974201895, -58.4566571527392469 -34.57892525444587051, -58.45665159414510015 -34.57892671659964634, -58.45664701475744351 -34.57892792075836041, -58.45615632369183601 -34.57905694792592755, -58.45614879667314767 -34.57905904433071953, -58.45577449681461246 -34.57916330509123526, -58.45506887224546944 -34.57935853029846385, -58.45257020989674857 -34.58016312564735273, -58.4525444915408201 -34.58017123454297348, -58.45110369616248391 -34.58062549068632308, -58.44950033681935508 -34.58125788320676719, -58.44950030422117493 -34.58125789585780296, -58.44945797179757108 -34.58127459310829721, -58.44868014222345209 -34.58160244894715163, -58.4486480485598463 -34.5816159773960905, -58.44831707738870108 -34.58167175265961646, -58.44463183231834336 -34.58330328531048536, -58.44498401075265548 -34.58443086278428069, -58.44485309904115411 -34.5847446169847359, -58.44485313826616135 -34.58474473418275608, -58.44481587665150357 -34.58476950416770279, -58.44474883451178471 -34.58481432119926779, -58.44363746924389602 -34.58555291572907464, -58.4436332980827089 -34.58555568972828809, -58.43714925614388989 -34.58986440982820909, -58.43714972045721368 -34.58986461735007367, -58.43714999452241443 -34.58986473790083949, -58.43714984014268055 -34.58986483910497611, -58.43621885414458461 -34.59045677200501245, -58.43550257117729529 -34.59094224066301138, -58.43460003271961511 -34.59156980210675414, -58.43366884845563902 -34.59217365792728316, -58.43247976612047268 -34.5929669575077483, -58.4313192992753514 -34.59378393876476565, -58.43027345736316391 -34.5944469643787329, -58.42929105140586898 -34.59505197890265293, -58.42929092096706967 -34.59505206029617597, -58.42927928466710341 -34.59505922673437084, -58.42813874916449635 -34.59577297190641332, -58.42735371121909793 -34.59621718721124495, -58.4272458851107146 -34.59627819978854291, -58.4268206711912228 -34.59651880284199166, -58.42637034594613255 -34.59666735880650634, -58.42422761074022475 -34.59759586822945465, -58.42339573841927347 -34.59775377054470624, -58.42336722123083348 -34.59774789460210087, -58.4233690775889869 -34.59775917424533276, -58.42336908621659575 -34.59775922101488277, -58.42337628477785216 -34.59780290404943059, -58.42337638231472852 -34.59780347903702591, -58.42337831099913359 -34.59781518400586009, -58.42337843705991673 -34.59781594276854833, -58.42337854778917716 -34.5978167614978247, -58.42337895478213738 -34.59781861304291795, -58.42337931794799744 -34.59782028080796579, -58.42338327067194115 -34.59783901629980818, -58.42338613995063668 -34.59785261425020764, -58.42339084086036394 -34.59787491196007636, -58.42339086741178988 -34.59787504566656224, -58.42339111479951441 -34.59787672604880981, -58.42339122556057873 -34.59787747765401633, -58.4234060391261778 -34.59797782245608744, -58.423406273902458 -34.5979794395615059, -58.42494815674439224 -34.5980519603565071, -58.42648983085860692 -34.59802903703948829, -58.42780498205939921 -34.59853233023324748, -58.42811626144576564 -34.59864758723996658, -58.42870017495343404 -34.5988991634083618, -58.4291080542020822 -34.59907489382337076, -58.42926152710481347 -34.59918769394079874, -58.42965436632550791 -34.59952899983963448)));3;ZONA 3;SOLBAYRES;ZONA;11, 12 y 15;7089
MultiPolygon (((-58.45975084502169494 -34.65683963679813928, -58.46027163743902832 -34.65725323433141369, -58.46033512688110534 -34.65725323557934701, -58.46039861696772277 -34.65722992009904857, -58.4605255949028475 -34.65726489747233785, -58.46085714473123573 -34.65754470326896808, -58.46151319653607459 -34.65811014122370892, -58.46199995074965727 -34.65848904122109531, -58.46259252705527132 -34.65896703531826972, -58.46300874526930613 -34.65925849357518018, -58.4636577697885258 -34.65975396979302303, -58.46430680259617674 -34.66027858837011166, -58.46463131043715578 -34.66003958765050896, -58.46530148207734356 -34.65949163308337688, -58.46762233187029523 -34.65772532221412661, -58.46927317487444498 -34.65909509997042193, -58.4692773271394941 -34.65912596079978414, -58.46952215092829164 -34.65931474693351078, -58.46999512661198395 -34.65901073191795945, -58.47003336896496961 -34.65899657713798376, -58.47013051981876686 -34.65918501257223738, -58.4703508796226501 -34.65970786540463422, -58.47051984085302934 -34.66003820855492989, -58.47073949996192255 -34.66054535721708874, -58.47104646731968103 -34.66128746945133798, -58.47141445311180519 -34.66211255265255886, -58.47163975185232943 -34.66259643476949037, -58.47189214662059698 -34.66326131242056618, -58.47211050925111664 -34.66331676919011784, -58.47306688725355173 -34.66267224960889592, -58.47306690856833455 -34.66267230352585926, -58.4730669285496063 -34.66267234313794887, -58.47320226490389672 -34.66259336807181057, -58.47322060447207548 -34.66258267021772355, -58.47321949830921284 -34.66258155397461849, -58.47321947033896095 -34.66258152701765027, -58.47355607937626587 -34.66228688756091714, -58.47395318469312997 -34.66193928565496662, -58.47396617032088528 -34.66192792079929319, -58.47398369531925511 -34.66191257708701556, -58.47398446364429248 -34.66191190633238506, -58.47444973864943307 -34.66145302846219778, -58.47498720944116712 -34.66103415146426414, -58.47559901173014651 -34.66054747070924691, -58.47876979658985164 -34.65807987062964202, -58.48039043922081248 -34.65913040101622755, -58.48039047451551653 -34.65913042301880154, -58.48048277735887268 -34.65919025560466338, -58.48048281465150922 -34.65919027925746576, -58.48472236151837933 -34.66193820176463447, -58.48472239415237084 -34.66193822541696079, -58.48514470579532087 -34.66223346536160221, -58.485144745081314 -34.66223346315358356, -58.48514477770916642 -34.66223346314757947, -58.48516687859124374 -34.66223290558436076, -58.48518935236018734 -34.66223233914527668, -58.48539707561554479 -34.6622266754944377, -58.48540419014326375 -34.66222543568867565, -58.48606267098706724 -34.66269464279400836, -58.48606271893628161 -34.66269466424228796, -58.4867740532146172 -34.66290937562874319, -58.48714768506030026 -34.66302309627811695, -58.4879169133077923 -34.66325722047176328, -58.48796184654539587 -34.66327089883218093, -58.48857930861464638 -34.66345882255557598, -58.48873228408308478 -34.66347774903407242, -58.48873231472339285 -34.66347777983824585, -58.48972702625398057 -34.66430334505872679, -58.48983895102607278 -34.6644029444389048, -58.48995890374084894 -34.66450968725453663, -58.49088816490388609 -34.6653951865011436, -58.49088819554494023 -34.66539521510399879, -58.49154833052065072 -34.66603723670019122, -58.49154835650140427 -34.66603726695456089, -58.4918067983917993 -34.66631950816270091, -58.49181231270868153 -34.66631950684607233, -58.49217989667444328 -34.66669106619903573, -58.49246192457719218 -34.66697627651596747, -58.49274080463484893 -34.66731121444261277, -58.49296896687837233 -34.66754670931960902, -58.49348722361351349 -34.66812523117383193, -58.49378017905985416 -34.66842914400466924, -58.49409566545244132 -34.66873925413474922, -58.49541491973516827 -34.67005489225227421, -58.49572477250087843 -34.67032932764103492, -58.49633884675965589 -34.6708642389828583, -58.49694165000277479 -34.67136192744978729, -58.49735852486509202 -34.67165493996512993, -58.49767963997249609 -34.67189679707357186, -58.49798947746654676 -34.6721014336971507, -58.49855284231704644 -34.67252002685651746, -58.49879508549564378 -34.67268745838079269, -58.49912181418567059 -34.67286882278977345, -58.49967386818580195 -34.67315713398658517, -58.50027661552667269 -34.67345007991369954, -58.50074982363121023 -34.67372445190490282, -58.50131879134435309 -34.67402670890849237, -58.50184270504324502 -34.67432432485504279, -58.50237676862347058 -34.67462096616103651, -58.50248629315823479 -34.67453842013288323, -58.50252590490784144 -34.67450856432182604, -58.50261601885335949 -34.67444029858643262, -58.50827514950523067 -34.67015298113185651, -58.50867966309351687 -34.66984649511948646, -58.50874370320207873 -34.66979797768362914, -58.5087443448936213 -34.6697974905224271, -58.5089234598912924 -34.66966177870256871, -58.51198781140620753 -34.66733990997699522, -58.51198784135964104 -34.66733988850743486, -58.51221917450079957 -34.66716459744119305, -58.51324682958824752 -34.66638588589454884, -58.51803218435028242 -34.66275945621929822, -58.5183426014157746 -34.6625241978016021, -58.51836669526142742 -34.66250593255249868, -58.51838890895717071 -34.66248910360674529, -58.51875801218158557 -34.66220936568545596, -58.51991666518925683 -34.66133122032289293, -58.52304439810150427 -34.65896056366512568, -58.52304463634459353 -34.65896038363452902, -58.52477361140033452 -34.65764981991151217, -58.52477365665183839 -34.65764978577658439, -58.52577318850261179 -34.65689211088495369, -58.52577362237485659 -34.656891781095581, -58.52588245077409823 -34.65680964162134359, -58.52879251481382283 -34.65461312780168157, -58.52915225201093818 -34.65434158578915458, -58.52916958394797575 -34.65432850542825349, -58.52920862885921593 -34.65429903455439842, -58.52920865480824375 -34.65429901253256162, -58.52920965594781677 -34.65428204186073202, -58.52921072144597048 -34.65426395646449009, -58.52921328078569019 -34.65422057076882822, -58.52941009207204104 -34.65088447581958064, -58.52941565176391947 -34.65079023856918639, -58.52985180275329213 -34.64339615057256339, -58.53008214942257581 -34.63949058492670474, -58.53008549785230485 -34.63943379430889991, -58.530099892993114 -34.63918968476863114, -58.53027066374534826 -34.63629393560563585, -58.53029139960862182 -34.63594233489945395, -58.53029811303454011 -34.635828539001146, -58.5303068376116542 -34.63568053808791802, -58.53031895960462805 -34.63547501417444607, -58.53033057456075738 -34.63527800423337055, -58.5303559869854837 -34.63484708106525289, -58.53035903758744496 -34.6347953171333458, -58.53037402609263751 -34.63454118801581672, -58.53038460730222425 -34.63436171494386429, -58.53039519504160637 -34.6341821411766162, -58.53039561024672111 -34.63417538896620584, -58.53041041218243379 -34.63393358646742826, -58.53042876735493394 -34.63363376512960201, -58.53044787195357657 -34.63332171474603882, -58.53080202250281872 -34.62753669574735937, -58.53080254921218994 -34.62752800733144198, -58.53080287041080965 -34.62752277150096347, -58.53080287038608986 -34.62752274124026286, -58.53115072041234157 -34.62167803136159705, -58.53116337427604066 -34.62146541073012429, -58.53151873087368529 -34.61549362653749995, -58.53107412733891124 -34.61449632612885807, -58.52951740656405377 -34.61100426192641777, -58.52951731079227216 -34.61100433075334593, -58.52951732812608299 -34.61100437035798194, -58.52942874013499619 -34.61106760225334966, -58.5293844401029375 -34.61109922203134204, -58.52587610714252975 -34.61360321734172629, -58.52587598742353947 -34.61360330763582738, -58.52521720440459774 -34.614097468624621, -58.52517036975888232 -34.61405106874721582, -58.52402914568163084 -34.61499573028352472, -58.52150329228832248 -34.61692382990053574, -58.5181446072820961 -34.61955624836238599, -58.51814478171284861 -34.61955634016572958, -58.51814466197323839 -34.61955642495021834, -58.51814470325056305 -34.61955644638907614, -58.51814006738298701 -34.61955980413710421, -58.51745242376201617 -34.62005720623554339, -58.51745037288359441 -34.62005868718124901, -58.51708244713863394 -34.6203267583252341, -58.5170817167223305 -34.62032728848883067, -58.51707830143439537 -34.62032972737617342, -58.51707820098499724 -34.620329799496524, -58.51683015456087134 -34.62030634110066529, -58.51621656312205033 -34.61977398319954347, -58.51548600024038649 -34.61908558681506065, -58.51484913077846528 -34.61852095697868492, -58.51474968139331878 -34.61843566744441603, -58.51474819781034142 -34.61843439382482046, -58.51411863234073252 -34.61789445966915224, -58.51346303136377003 -34.61728340267284665, -58.51279811945572362 -34.61673425006593163, -58.51271513267344915 -34.61668609303684008, -58.51270200224588791 -34.6166784738090314, -58.51210521973470691 -34.61633213994515046, -58.51060581969929331 -34.61544975040614247, -58.51003590889205697 -34.61508708138354962, -58.50776070041777643 -34.6137724198733423, -58.50303910493188653 -34.61097187968952227, -58.50303088607211066 -34.6109669840106946, -58.50063686221159287 -34.6095401628199042, -58.50022064648955933 -34.60930348980810578, -58.49809071501488233 -34.61166837474571878, -58.49809062987813491 -34.61166847710688188, -58.49742942884949315 -34.61255749724035979, -58.49742934371126069 -34.61255760015124849, -58.4958165183555252 -34.61434624582238229, -58.49578962178167529 -34.61437962469804575, -58.49437936965169627 -34.61559104871626147, -58.49039893316422223 -34.61867482267781782, -58.48913061485565379 -34.61970000365544564, -58.48900325271922185 -34.6197986542502818, -58.48761088916478457 -34.62089187592277995, -58.48501104779156634 -34.62295587561998644, -58.483487409389177 -34.62417421821859165, -58.48329233015674333 -34.62434945373629347, -58.4828863973437052 -34.62468986501815493, -58.48266344654669524 -34.62482572337476228, -58.48266339865389085 -34.62482584277488229, -58.48266190695883182 -34.62482525486065299, -58.48265971900702453 -34.62482439526404931, -58.48262118655630815 -34.62480921233227349, -58.48251978658633732 -34.62476893312531701, -58.4825144255406002 -34.62476680474195945, -58.48025437462506915 -34.623810416916875, -58.477728811380004 -34.62255169720763348, -58.47758427055262587 -34.62248207508324072, -58.47699391659843826 -34.62375171363994042, -58.47668790956072371 -34.62442149320310136, -58.47522186258473198 -34.62767779170383164, -58.47432383473396555 -34.6296374117296395, -58.47431303910164502 -34.62966098529000192, -58.47317062831060497 -34.63215372280324544, -58.47306986949826779 -34.63237445943641291, -58.47305354789456544 -34.63241019923920305, -58.47259685145692032 -34.63341062111791047, -58.47259438522400643 -34.63341603852943251, -58.47114968930969781 -34.63660947089701381, -58.47115684613871878 -34.63661160900447555, -58.47001973621987503 -34.63923251222348654, -58.46984327494058675 -34.63963538764006245, -58.46983923363992375 -34.6396446168237091, -58.46954817243388192 -34.64030916608019339, -58.46915145717380824 -34.64121256963206719, -58.4689942567059191 -34.64146008180708947, -58.46640236975434135 -34.64348074219082463, -58.46635713666501033 -34.64351599553612004, -58.46581102687834886 -34.64398194125523389, -58.46560931897464286 -34.64412854685661358, -58.46524153088174103 -34.6443958636710363, -58.46500518608399943 -34.64456148915676437, -58.46487768806963459 -34.644657067198807, -58.46486554599578511 -34.64466644215564628, -58.46485010792751069 -34.64467801904225297, -58.46330434611880378 -34.64583657859359533, -58.46258062569177127 -34.64654769236037168, -58.46247899226567313 -34.64662566666356724, -58.46280972591249991 -34.64710162660834669, -58.46280974122488772 -34.64710165026664868, -58.46281406463517527 -34.64710788064709135, -58.46281964565687872 -34.64711592501214454, -58.4631897979595081 -34.64746829897163138, -58.46384577066860544 -34.64842083515909366, -58.4638464663862365 -34.64842043296162188, -58.46416914697811507 -34.64911004934886307, -58.46416830014621979 -34.64911156403960746, -58.46405665588110878 -34.64931146740082113, -58.46426282753328962 -34.64975676888207801, -58.46431773320601621 -34.64992377529500089, -58.46432270751200377 -34.64993890112515373, -58.4644830667657871 -34.65042664629718416, -58.46448308407653371 -34.6504266677544237, -58.4649099533691512 -34.6508407584301068, -58.46493173662722143 -34.65084435828467235, -58.46513443482450612 -34.65096532924147965, -58.46538780712275241 -34.65107699299618105, -58.46557361413140796 -34.65116539344302993, -58.46579883509843967 -34.65126775124420533, -58.46597901380972218 -34.65138872135879922, -58.46615356297818522 -34.6515189971199149, -58.46624928484133221 -34.65161670480429024, -58.46632811532818153 -34.65170976003804526, -58.46631122675586312 -34.65177490082614753, -58.4662211431683545 -34.65186796101200883, -58.46600719116150202 -34.652021511959056, -58.46583828164191488 -34.65215644986669474, -58.46567500174745646 -34.65228208164573687, -58.46550046049095783 -34.65241236633984556, -58.46537096196932737 -34.65251473254087244, -58.46526398409159242 -34.65257987511542126, -58.46519529396824311 -34.65259406743271597, -58.46469137140016414 -34.65299190783527905, -58.46469126420856099 -34.65299200191991247, -58.46302115168177238 -34.65431049970885624, -58.46302402266572784 -34.65431237640702733, -58.46033024432628622 -34.65636679608549287, -58.46009867537375015 -34.6565433931118605, -58.46009055047798597 -34.65653660686950843, -58.46009051785321731 -34.6565365799093783, -58.45975084502169494 -34.65683963679813928)));4;ZONA 4;ECOHABITAT;ZONA;9 y 10;4239
