Fecha y hora de respuesta;2. País o ciudad de nacimiento:;3. Género:;4. Fecha de nacimiento (en formato DD/MM/AAAA):;5. ¿Cuál es el máximo nivel educativo que cursás o cursaste?;6. ¿Qué carrera de grado cursás o cursaste?;7. ¿Qué carrera de posgrado cursás o cursaste?;8. ¿Trabajaste la semana pasada al menos una hora?;9. En ese trabajo...;10. ¿A qué se dedica o qué produce la empresa/establecimiento en el que trabajás?;11. ¿Desde qué fecha (DD/MM/AAAA) trabajás en este puesto?;12. ¿Cómo se llama tu ocupación?;"13. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste con&nbsp;datos&nbsp;(recolectando, limpiando, analizando, etc.)?";14. ¿Cuántos años trabajaste con datos?(Si es menos de 1 registrá 0.);15. ¿Cuáles de las siguientes herramientas utilizaste? (indicar todas las utilizadas)- Excel- SPSS- SAS- R- Python- Otras (indicar cúales);16. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste haciendo tareas de programación?;17. ¿Durante cuántos años? (Si no aplica ingresar 0);"18. ¿Con qué lenguajes? (Indicar todos los que apliquen)-&nbsp;Python- Ruby- PHP- Java- JavaScript- SQL- C++- Otros (indicar cuáles)";19. ¿Qué creés que va a pasar en el curso de Data Science?;20. ¿Qué te gustaría que pase?
10-08-2022 00:08:00;Argentina;Masculino;09/06/1976;Universitario;Actuario;no;si;como actuario;seguros / servicios;10/09/2013;Actuario;si;20;excel sql;si;10;sql;vas a aprender herramientas a lo largo del curso;lo mismo que creo que va a pasar
10-08-2022 00:10:24;Argentina;Masculino;22/01/1986;Universitario - Carrera de Grado;Licenciatura en Administración de Empresas;Ninguna;Si;Comercio;Gastronomía;01/01/2016;Socio Gerente;No;0;Excel ;No;0;VBA;Adquirir conocimientos de programación, manejo de datos, ejecución de modelos y predicción de comportamientos para la toma de decisiones.;Adquirir las herramientas y conocimientos necesarios para poder trabajar con grandes volumenes de información
10-08-2022 00:08:09;Buenos Aires, Argentina.;Hombre;07/03/1997;Universitario;Licenciatura en Economía;0;Sí;Trabajé como analista en finanzas.;Produce y vende licencias de Software de gestión empresarial (SAP);01/06/2021;Analista Financiero.;Sí;3;Excel;No;0;0;Aprender a programar y construir modelos de Data Science.;Conseguir un trabajo relacionado con ciencia de datos. Cambio de carrera profesional. O por lo menos integrar finanzas con ciencia de datos.
10-08-2022 00:09:57;Argentina, Rosario;;;;;;;;;;;;;;;;;;
Programo la producción y el stock de insumos para autoabastecimiento. ;01/08/2022;Programacion y control de la producción;Si;2;Excel, Softland, Tango;No;0;0;Aprender a programar e interpretar datos;Adquirir nuevos conocimientos para un mejor analisis de datos;;;;;;;;;
10-08-2022 00:09:36;Argentina - Tucuman;Masculino;07/07/1998;Universitario - en curso;Lic. en administracion.;no curse posgrado;Si;Realizo pruebas para asegurar la calidad del software.;Desarrolla y comercializa software de gestion contable.;08/09/2021;QA tester;No;0;Excel;no;0;0;Voy a aprender, un poco me voy a frustrar;Me gustaria aprender y conseguir las herramientas para seguir haciendolo por mi cuenta.
10-08-2022 00:10:23;argentina caba;masculino;04/09/1999;universitario;economia empresarial;ninguna;no;f;nada;f;desempleado;no;0;- Excel;no;0;f;voy a aprender mucho;que aprenda mucho sin sufrir jajaj
10-08-2022 00:08:35;Argentina, Buenos Aires;Masculino;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Si;;;;;;;;;;;;;;;;;;;
